#1
double tab1(18001,8)
#time	tagertSpeed	ShafterPostion	Eng.minTorque	Eng.maxTorque	air_degC	ENG_degC	PT_TH_degC
0	0	0	0	500	45	56	27
0.1	0	0	0	500	45	56	27
0.2	0	0	0	500	45	56	27
0.3	0	0	0	500	45	56	27
0.4	0	0	0	500	45	56	27
0.5	0	0	0	500	45	56	27
0.6	0	0	0	500	45	56	27
0.7	0	0	0	500	45	56	27
0.8	0	0	0	500	45	56	27
0.9	0	0	0	500	45	56	27
1	0	0	0	500	45	56	27
1.1	0	0	0	500	45	56	27
1.2	0	0	0	500	45	56	27
1.3	0	0	0	500	45	56	27
1.4	0	0	0	500	45	56	27
1.5	0	0	0	500	45	56	27
1.6	0	0	0	500	45	56	27
1.7	0	0	0	500	45	56	27
1.8	0	0	0	500	45	56	27
1.9	0	0	0	500	45	56	27
2	0	0	0	500	45	56	27
2.1	0	0	0	500	45	56	27
2.2	0	0	0	500	45	56	27
2.3	0	0	0	500	45	56	27
2.4	0	0	0	500	45	56	27
2.5	0	0	0	500	45	56	27
2.6	0	0	0	500	45	56	27
2.7	0	0	0	500	45	56	27
2.8	0	0	0	500	45	56	27
2.9	0	0	0	500	45	56	27
3	0	0	0	500	45	56	27
3.1	0	0	0	500	45	56	27
3.2	0	0	0	500	45	56	27
3.3	0	0	0	500	45	56	27
3.4	0	0	0	500	45	56	27
3.5	0	0	0	500	45	56	27
3.6	0	0	0	500	45	56	27
3.7	0	0	0	500	45	56	27
3.8	0	0	0	500	45	56	27
3.9	0	0	0	500	45	56	27
4	0	0	0	500	45	56	27
4.1	0	0	0	500	45	56	27
4.2	0	0	0	500	45	56	27
4.3	0	0	0	500	45	56	27
4.4	0	0	0	500	45	56	27
4.5	0	0	0	500	45	56	27
4.6	0	0	0	500	45	56	27
4.7	0	0	0	500	45	56	27
4.8	0	0	0	500	45	56	27
4.9	0	0	0	500	45	56	27
5	0	0	0	500	45	56	27
5.1	0	0	0	500	45	56	27
5.2	0	0	0	500	45	56	27
5.3	0	0	0	500	45	56	27
5.4	0	0	0	500	45	56	27
5.5	0	0	0	500	45	56	27
5.6	0	1	0	500	45	56	27
5.7	0	1	0	500	45	56	27
5.8	0	1	0	500	45	56	27
5.9	0	1	0	500	45	56	27
6	0	1	0	500	45	56	27
6.1	0	1	0	500	45	56	27
6.2	0	1	0	500	45	56	27
6.3	0	1	0	500	45	56	27
6.4	0	1	0	500	45	56	27
6.5	0	1	0	500	45	56	27
6.6	0	1	0	500	45	56	27
6.7	0	1	0	500	45	56	27
6.8	0	1	0	500	45	56	27
6.9	0	1	0	500	45	56	27
7	0	1	0	500	45	56	27
7.1	0	1	0	500	45	56	27
7.2	0	1	0	500	45	56	27
7.3	0	1	0	500	45	56	27
7.4	0	1	0	500	45	56	27
7.5	0	1	0	500	45	56	27
7.6	0	1	0	500	45	56	27
7.7	0	1	0	500	45	56	27
7.8	0	1	0	500	45	56	27
7.9	0	1	0	500	45	56	27
8	0	1	0	500	45	56	27
8.1	0	1	0	500	45	56	27
8.2	0	1	0	500	45	56	27
8.3	0	1	0	500	45	56	27
8.4	0	1	0	500	45	56	27
8.5	0	1	0	500	45	56	27
8.6	0	1	0	500	45	56	27
8.7	0	1	0	500	45	56	27
8.8	0	1	0	500	45	56	27
8.9	0	1	0	500	45	56	27
9	0	1	0	500	45	56	27
9.1	0	1	0	500	45	56	27
9.2	0	1	0	500	45	56	27
9.3	0	1	0	500	45	56	27
9.4	0	1	0	500	45	56	27
9.5	0	1	0	500	45	56	27
9.6	0	1	0	500	45	56	27
9.7	0	1	0	500	45	56	27
9.8	0	1	0	500	45	56	27
9.9	0	1	0	500	45	56	27
10	0	1	0	500	45	56	27
10.1	0	1	0	500	45	56	27
10.2	0	1	0	500	45	56	27
10.3	0	1	0	500	45	56	27
10.4	0	1	0	500	45	56	27
10.5	0	1	0	500	45	56	27
10.6	0	1	0	500	45	56	27
10.7	0	1	0	500	45	56	27
10.8	0	1	0	500	45	56	27
10.9	0	1	0	500	45	56	27
11	0	1	0	500	45	56	27
11.1	0	1	0	500	45	56	27
11.2	0	1	0	500	45	56	27
11.3	0.00292566	1	0	500	45	56	27
11.4	0.0095476	1	0	500	45	56	27
11.5	0.02116981	1	0	500	45	56	27
11.6	0.03909844	1	0	500	45	56	27
11.7	0.06463963	1	0	500	45	56	27
11.8	0.09909952	1	0	500	45	56	27
11.9	0.14378426	1	0	500	45	56	27
12	0.2	1	0	500	45	56	27
12.1	0.26906917	1	0	500	45	56	27
12.2	0.35237933	1	0	500	45	56	27
12.3	0.45133437	1	0	500	45	56	27
12.4	0.56733812	1	0	500	45	56	27
12.5	0.70179446	1	0	500	45	56	27
12.6	0.85610724	1	0	500	45	56	27
12.7	1.0316803	1	0	500	45	56	27
12.8	1.2299176	1	0	500	45	56	27
12.9	1.4522228	1	0	500	45	56	27
13	1.7	1	0	500	45	56	27
13.1	1.9741653	1	0	500	45	56	27
13.2	2.2736848	1	0	500	45	56	27
13.3	2.5970369	1	0	500	45	56	27
13.4	2.9426999	1	0	500	45	56	27
13.5	3.3091524	1	0	500	45	56	27
13.6	3.6948726	1	0	500	45	56	27
13.7	4.0983391	1	0	500	45	56	27
13.8	4.5180302	1	0	500	45	56	27
13.9	4.9524244	1	0	500	45	56	27
14	5.4	1	0	500	45	56	27
14.1	5.8588695	1	0	500	45	56	27
14.2	6.3256814	1	0	500	45	56	27
14.3	6.7967181	1	0	500	45	56	27
14.4	7.2682622	1	0	500	45	56	27
14.5	7.7365961	1	0	500	45	56	27
14.6	8.1980023	1	0	500	45	56	27
14.7	8.6487633	1	0	500	45	56	27
14.8	9.0851616	1	0	500	45	56	27
14.9	9.5034797	1	0	500	45	56	27
15	9.9	1	0	500	45	56	27
15.1	10.272257	1	0	500	45	56	27
15.2	10.62279	1	0	500	45	56	27
15.3	10.955391	1	0	500	45	56	27
15.4	11.273851	1	0	500	45	56	27
15.5	11.581963	1	0	500	45	56	27
15.6	11.883518	1	0	500	45	56	27
15.7	12.182308	1	0	500	45	56	27
15.8	12.482123	1	0	500	45	56	27
15.9	12.786757	1	0	500	45	56	27
16	13.1	1	0	500	45	56	27
16.1	13.425004	1	0	500	45	56	27
16.2	13.76236	1	0	500	45	56	27
16.3	14.112019	1	0	500	45	56	27
16.4	14.473933	1	0	500	45	56	27
16.5	14.848051	1	0	500	45	56	27
16.6	15.234325	1	0	500	45	56	27
16.7	15.632706	1	0	500	45	56	27
16.8	16.043145	1	0	500	45	56	27
16.9	16.465592	1	0	500	45	56	27
17	16.9	1	0	500	45	56	27
17.1	17.346127	1	0	500	45	56	27
17.2	17.80297	1	0	500	45	56	27
17.3	18.269332	1	0	500	45	56	27
17.4	18.744019	1	0	500	45	56	27
17.5	19.225834	1	0	500	45	56	27
17.6	19.713583	1	0	500	45	56	27
17.7	20.206069	1	0	500	45	56	27
17.8	20.702098	1	0	500	45	56	27
17.9	21.200473	1	0	500	45	56	27
18	21.7	1	0	500	45	56	27
18.1	22.198987	1	0	500	45	56	27
18.2	22.693761	1	0	500	45	56	27
18.3	23.180152	1	0	500	45	56	27
18.4	23.653993	1	0	500	45	56	27
18.5	24.111113	1	0	500	45	56	27
18.6	24.547345	1	0	500	45	56	27
18.7	24.958518	1	0	500	45	56	27
18.8	25.340464	1	0	500	45	56	27
18.9	25.689015	1	0	500	45	56	27
19	26	1	0	500	45	56	27
19.1	26.270625	1	0	500	45	56	27
19.2	26.503587	1	0	500	45	56	27
19.3	26.702958	1	0	500	45	56	27
19.4	26.872809	1	0	500	45	56	27
19.5	27.017212	1	0	500	45	56	27
19.6	27.140238	1	0	500	45	56	27
19.7	27.245958	1	0	500	45	56	27
19.8	27.338445	1	0	500	45	56	27
19.9	27.421768	1	0	500	45	56	27
20	27.5	1	0	500	45	56	27
20.1	27.576414	1	0	500	45	56	27
20.2	27.651091	1	0	500	45	56	27
20.3	27.723316	1	0	500	45	56	27
20.4	27.79237	1	0	500	45	56	27
20.5	27.857538	1	0	500	45	56	27
20.6	27.918103	1	0	500	45	56	27
20.7	27.973348	1	0	500	45	56	27
20.8	28.022557	1	0	500	45	56	27
20.9	28.065013	1	0	500	45	56	27
