#1
double CapacityCoefficient(23,2) # 容量係数テーブル
#速度比	容量係数[Nm/rpm^2]
-0.1	38e-06
0	38e-06
0.1	39e-06
0.2	40e-06
0.3	41e-06
0.4	42e-06
0.5	43e-06
0.6	44e-06
0.7	40e-06
0.8	35e-06
0.9	30e-06
1.0	0
1.1	-5e-06
1.2	-10e-06
1.3	-12e-06
1.4	-14e-06
1.5	-16e-06
1.6	-18e-06
1.7	-20e-06
1.8	-22e-06
1.9	-24e-06
2.0	-26e-06
2.1	-26e-06

double TorqueRatio(22,2) # トルク比テーブル
#速度比	トルク比
-0.1	1.81
0	1.81
0.1	1.72
0.2	1.63
0.3	1.54
0.4	1.45
0.5	1.36
0.6	1.27
0.7	1.18
0.8	1.09
0.9	1.00
1.0	1.00
1.1	1.00
1.2	1.00
1.3	1.00
1.4	1.00
1.5	1.00
1.6	1.00
1.7	1.00
1.8	1.00
1.9	1.00
2.0	1.00
